group,plane maker ,plane type,flight tester ,trial,distance y,distance x
1,22,B,1,1,15,3
1,22,B,1,2,6,1
1,10,A,1,1,18,3
1,10,A,1,2,12,1
1,11,A,2,1,8,3
1,11,A,2,2,13,4
1,4,B,2,1,23,2
1,4,B,2,2,15,4
2,4,A,1,1,13,0
2,4,A,1,2,12,0
2,18,B,1,1,12,1
2,18,B,1,2,16,1
2,21,B,2,1,20,4
2,21,B,2,2,17,5
2,18,A,2,1,16,1
2,18,A,2,2,18,1
3,3,B,1,1,21,2
3,3,B,1,2,11,3
3,20,A,1,1,15,3
3,20,A,1,2,11,3
3,9,A,2,1,18,3
3,9,A,2,2,19,4
3,9,B,2,1,21,1
3,9,B,2,2,17,1
4,1,B,1,1,13,0.16
4,1,B,1,2,17,0.98
4,2,A,1,1,15,0
4,2,A,1,2,23,0.33
4,11,B,2,1,13,0.16
4,11,B,2,2,13,0.32
4,12,A,2,1,29,0.32
4,12,A,2,2,13,0.24
5,10,A,1,1,13,2.8
5,20,A,1,2,11.5,3.5
5,17,B,1,1,18,0.6
5,9,B,1,2,15,3.7
5,10,A,2,1,12.6,0
5,20,A,2,2,11.9,0
5,17,B,2,1,27.7,4.2
5,9,B,2,2,16,3.7
6,1,A,1,1,16.1,2.7
6,1,A,1,2,11.4,2.11
6,6,A,2,1,18.9,2
6,6,A,2,2,18.8,3.3
6,10,B,1,1,20.4,2.1
6,10,B,1,2,22.2,0.2
6,5,B,2,1,19.4,3.2
6,5,B,2,2,18.1,1.6
7,6,b,1,1,10,3
7,6,b,1,2,11,4
7,22,a,1,1,13,7
7,22,a,1,2,11,1
7,5,a,2,1,11,2
7,5,a,2,2,13,1
7,11,b,2,1,14,2
7,11,b,2,2,21,2
8,18,B,1,1,19,0
8,2,B,1,2,18,5
8,8,A,1,1,12,1
8,4,A,1,2,12,6
8,2,B,2,1,27,6
8,18,B,2,2,18,5
8,8,A,2,1,24,1
8,4,A,2,2,21,2
